qid,Label,VarName
qid_cohortcyear9q10a,What is your favourite subject this year?,SchSubjAtt14
qid_cohortcyear9q10b,Why is this your favourite subject this year?,SchSubjAtt15
qid_cohortcyear9q18d,do you bully others outside of school?,Bully03
qid_cohortcyear9q21a,What social networking app do you use the most?,Bully09
qid_cohortcyear9q18c,Are you bullied outside of school?,Bully01
qid_cohortcyear9q20a,What social networking website do you use the most?,Bully05
qid_cohortcyear9q18b,Do you bully other pupils at school?,BullySch03
qid_cohortcyear9q20b,How many days in a typical week do you use the website?,Bully06
qid_cohortcyear9q21b,How many days in a typical week do you use the app?,Bully10
qid_cohortcyear9q18a,Are you bullied at school?,BullySch01
qid_cohortcyear10q21k,,WellFeelAtt04
qid_cohortcyear10q31,Please choose the two most common sources for your information about current events/news.,EngSoc[00]
qid_cohortcyear10q14h,"Please state how much you agree or disagree with the following statements. “My school is a place where my teachers know me well""",0
qid_cohortcyear10q22c,"Bullying is behaviour that is intended to hurt someone either physically or emotionally. This behaviour is often repeated and can take many forms including physical assault, teasing and threats. How often are you bullied outside of school?",Bully01
qid_cohortcyear10q1,Please enter your First and Last name in the spaces provided below,"firstname, surname"
qid_cohortcyear10q22b,"Bullying is behaviour that is intended to hurt someone either physically or emotionally. This behaviour is often repeated and can take many forms including physical assault, teasing and threats. How often do you bully other pupils at school?",BullySch03
qid_cohortcyear10q22d,"Bullying is behaviour that is intended to hurt someone either physically or emotionally. This behaviour is often repeated and can take many forms including physical assault, teasing and threats. How often do you bully others outside of school?",Bully03
qid_cohortcyear10q11e,"On a scale of 1 to 7 where ‘1’ means VERY IMPORTANT and ‘7’ means NOT AT ALL IMPORTANT, how important is talking on the phone for keeping in touch with your friends?",FrndActAtt06
qid_cohortcyear10q11f,"On a scale of 1 to 7 where ‘1’ means VERY IMPORTANT and ‘7’ means NOT AT ALL IMPORTANT, how important is texting on your mobile phone for keeping in touch with your friends?",FrndActAtt07
qid_cohortcyear10q2,Please enter your date of birth in the spaces provided below,"dobday, dobmonth, dobyear"
qid_cohortcyear10q34a,Please indicate which GCSE subjects you are doing this year and what grade you expect to get in the table below. English,SchAchvSubj01
qid_cohortcyear10q34d,Please indicate which GCSE subjects you are doing this year and what grade you expect to get in the table below. Biology,SchAchvSubj04
qid_cohortcyear10q34e,Please indicate which GCSE subjects you are doing this year and what grade you expect to get in the table below. Chemistry,SchAchvSubj05
qid_cohortcyear10q34h,Please indicate which GCSE subjects you are doing this year and what grade you expect to get in the table below. Maths,SchAchvSubj02
qid_cohortcyear10q34i,Please indicate which GCSE subjects you are doing this year and what grade you expect to get in the table below. PE,SchAchvSubj13
qid_cohortcyear10q16g,Please choose the best response from the options below: School helps increase my interest in the politics of Wales,SchAtt21
qid_cohortcyear10q33f,"When you are an adult, do you think you will be financially “well-off”?",AspLikely01
qid_cohortcyear10q11a,"On a scale of 1 to 7 where ‘1’ means VERY IMPORTANT and ‘7’ means NOT AT ALL IMPORTANT, how important are social networking sites (like Facebook, Skype, Snapchat, etc) for keeping in touch with your friends?",FrndActAtt05
qid_cohortcyear10q18d,How much do you like foreign languages at school?,SchSubjAtt07
qid_cohortcyear10q18g,How much do you like ICT at school?,SchSubjAtt10
qid_cohortcyear10q11d,"On a scale of 1 to 7 where ‘1’ means VERY IMPORTANT and ‘7’ means NOT AT ALL IMPORTANT, how important is just ‘hanging out’ after school or on the weekends for keeping in touch with your friends?",FrndActAtt03
qid_cohortcyear10q11g,"On a scale of 1 to 7 where ‘1’ means VERY IMPORTANT and ‘7’ means NOT AT ALL IMPORTANT, how important is playing video games online (like Xbox live or Playstation) for keeping in touch with your friends?",FrndActAtt04
qid_cohortcyear10q18c,How much do you like English at school?,SchSubjAtt01
qid_cohortcyear10q18f,How much do you like history at school?,SchSubjAtt09
qid_cohortcyear10q18h,How much do you like Maths at school?,SchSubjAtt02
qid_cohortcyear10q18i,How much do you like Music at school?,SchSubjAtt11
qid_cohortcyear10q18j,How much do you like P.E. in school?,SchSubjAtt12
qid_cohortcyear10q18k,How much do you like religious education at school?,SchSubjAtt13
qid_cohortcyear10q18m,How much do you like Welsh in school?,SchSubjAtt04
qid_cohortcyear10q18e,How much do you like geography at school?,SchSubjAtt08
qid_cohortcyear10q18l,How much do you like Science in school?,SchSubjAtt03
qid_cohortcyear10q17a,Please fill in the circles next to the subjects that you receive private tuition in : English,PrvtuSubj01
qid_cohortcyear10q8,How do you typically travel to school each day?,RoutnTrav[00]
qid_cohortcyear11q23,Here is a list of items some young people of your age have. Please tell us whether you have each item on the list. Fill in as many items as needed.,Deprive[00]
qid_cohortcyear11q8,What languages do your parents speak?,NatLang[00]
qid_cohortcyear11q7,What languages do you speak?,NatLang[00]
qid_cohortcyear11q40b,"If you know anyone who has any of the following religious beliefs, please fill in the appropriate circle below. Fill in as many circles as needed.",Relig[00]
qid_cohortcyear11q32b,"If you don't know the name of the last charity your school supported, why?",PhilAct02
qid_cohortcyear11q24b,How often do you go to the cinema with your family?,FamActFrq16
qid_cohortcyear11q24g,How often do you go to the library with your family?,FamActFrq17
qid_cohortcyear11q19,"If you have been on a work experience placement, did you find the experience useful?",AspAdvice17
qid_cohortcyear11q20c,"How confident are you when it comes to performing in front of people (e.g. singing, acting, etc.)?",WellConf04
qid_cohortcyear11q24a,How often do you go to a museum with your family?,FamActFrq14
qid_cohortcyear11q38a,Do you eat meat?,Diet01
qid_cohortcyear11q24d,How often do you attend the theatre with your family?,FamActFrq13
qid_cohortcyear11q24c,How often do you attend a sport event with your family?,FamActFrq12
qid_cohortcyear11q24e,How often do you have dinner at a pub with your family?,FamActFrq18
qid_cohortcyear11q33b,Please list the clubs you are involved with.,SchAct08
qid_cohortcyear11q38b,Do you eat fish?,Diet02
qid_cohortcyear11q1,What is your name?,"firstname, surname"
qid_cohortcyear11q38d,Do either of your parents eat fish?,EthicsFam01
qid_cohortcyear11q38c,Do either of our parents eat meat?,EthicsFam02
qid_cohortcyear11q7b,"If you speak languages other than English and Welsh, what are they?",NatLang04
qid_cohortcyear11q31a,"Have you raised money for charity in the past year, month or week?",PhilAct06
qid_cohortcyear11q31b,"Have you given money to charity in the past year, month or week?",PhilAct08
qid_cohortcyear11q8b,"If your parents speak languages other than English and Welsh, what are they?",NatLang08
qid_cohortcyear11q31c,"Have you given items to charity in the past year, month or week?",PhilAct05
qid_cohortdyear10q17d,Do you receive private tuition for the following school subject? Welsh.,PrvtuSubj04
qid_cohortdyear10q20i,"How often do you spend time doing activities outside of the home with the following family members: Grandparents, aunts/uncles or cousins.",FamActFrq03
qid_cohortdyear10q20j,"How often do you spend time with your friends chatting online (Facebook, Skype, etc.)?",FrndCom05
qid_cohortdyear10q8,Please list up to three words that best describe your school,SchAtt[00]
qid_cohortdyear10q10g,How much do you like the following subjects at school? Welsh.,SchSubjAtt04
qid_cohortdyear10q10h,How much do you like the following subjects at school? P.E.,SchSubjAtt12
qid_cohortdyear10q10b,How much do you like the following subjects at school? Art.,SchSubjAtt05
qid_cohortdyear10q10c,How much do you like the following subjects at school? ICT.,SchSubjAtt10
qid_cohortdyear10q1,About how many of your friends go to the same school as you? (Please enter a number),FrndDivers03
qid_cohortdyear10q40,What is your gender?,sex
qid_cohortdyear10q31h,"When you are an adult, do you think you will speak Welsh?",AspLikely08
qid_cohortdyear10q5,Please list up to three words that best describe your neighbourhood in the spaces provided below:,NeighbAtt[00]
qid_cohortdyear10q9j,"Please choose the best response from the options below: overall, I like the school staff.",SchStafAtt06
qid_cohortdyear10q10l,How much do you like the following subjects at school? Design & Technology.,SchSubjAtt06
qid_cohortdyear10q11a,Please list up to three words that describe you what you like about school.,SchAtt[00]
qid_cohortdyear10q11b,Please list up to three words that describe you what you dislike about school.,SchAtt[00]
qid_cohortdyear10q42,Which of the following best describes you?,NatIden01
qid_cohortdyear10q31a,"When you are an adult, do you think you will live in Wales?",AspLikely07
qid_cohortdyear10q36,What do you plan to do once you’ve finished Year 11?,AspPostSch03
qid_cohortdyear10q12b,Please state how much you think the following activity helps you learn: working in a group.,SchLearnAtt08
qid_cohortdyear10q38,What is your date of birth? (dd/mm/yyyy),"dobday, dobmonth, dobyear"
qid_cohortdyear10q41,To which of the following groups do you think you belong?,NatEth01
qid_cohortdyear10q43,"What is your national identity? (e.g. Welsh, English, British, etc)",NatIden02
qid_cohortdyear10q32b,Please list up to three famous people that you most dislike in the spaces provided below.,FameAtt[00]
qid_cohortdyear10q32a,Please list up to three famous people that you most admire in the spaces provided below.,FameAtt[00]
qid_cohortdyear10q37,Please enter your First and Last name in the spaces provided below.,"firstname, surname"
qid_cohortdyear10q39,Please choose the option that best describes how well you speak Welsh.,NatLang09
qid_cohortdyear10q35,Please tick the circle next to each subject you are taking for your GCSE/BTEC from the list below:,SchStdySubj[00]
qid_cohortdyear10q29,"Please put the following items IN ORDER from 1 to 7 according to how ""wrong"" you think they are to do. ""1"" means the least wrong and ""7"" means the most wrong. (Please note, each statement must have a different number from the other statements)",Behave[00]
qid_cohortdyear11q13,"If you are staying in education, or doing an apprenticeship, where will you be doing your courses after year 11.",AspPostSch[00]
qid_cohortdyear11q1,Please enter your First and Last name in the spaces provided below.,"firstname, surname"
qid_cohortdyear11q5,"If you are doing the Welsh Baccalaureate, which level are you doing?",SchStdySubj[00]
qid_cohortdyear11q6,"If you are doing qualifications/certificates in addition to GCSEs, such as BTECs or NVQs, please list them below. Please indicate what grades you expect to get in each course.",SchStdySubj[00]
qid_cohortdyear11q2,Please enter your date of birth in the spaces provided below.,"dobday, dobmonth, dobyear"
qid_cohortdyear11q3,Please enter the name of your school in the space provided below.,schnamestr
qid_cohortdyear11q4,Please indicate which GCSE subjects you are doing this year.,SchStdySubj[00]
qid_cohortdyear11q23,About what time did you go to bed last night?,RoutnSleep03
qid_cohortdyear11q11,"Please tick the box next to the subjects that you receive private tuition in. If you don't receive tuition in any of these subjects, please skip this question.",PrvtuSubj[00]
qid_cohortdyear11q27c,How many days in a typical week are you bullied while using this website?,Bully07
qid_cohortdyear11q27d,How many days in a typical week do you bully others using this website?,Bully08
qid_cohortdyear11q27e,What social networking app do you use the most?,Bully09
qid_cohortdyear11q7a,What is your favourite subject this year?,SchSubjAtt14
qid_cohortdyear11q27a,What social networking website do you use the most?,Bully05
qid_cohortdyear11q7b,Why is this your favourite subject?,SchSubjAtt15
qid_cohortdyear11q27b,How many days in a typical week do you use this website?,Bully06
qid_cohortdmoversq12,Are you a member of any of the following organisations? (please tick all that apply),Hob[00]
qid_cohortdmoversq34,Which two of the following do you get most of your information about current affairs / the news from?,EngSoc[00]
qid_cohortdmoversq11,Do you do any of the following in your spare time? (please tick all that apply),Hob[00]
qid_cohortdmoversq37,Please choose the two issues you feel most strongly about from the list below:,EngSoc[00]
qid_cohortdmoversq27,Which of the phrases below describes how you are getting on at the moment? (tick as many as you like),WellFeel[00]
qid_cohortdmoversq28,This year I feel I am taking more responsibility for: (tick as many as you like),Responsible[00]
qid_cohortdmoversq50,What do you see yourself doing in ten years’ time?,AspTime02
qid_cohortdmoversq30,Please indicate three words from the list below that describe how you are feeling today.,WellFeel[00]
qid_cohortdmoversq47c,When you are older do you think you will: live abroad?,AspLikely05
qid_cohortdmoversq2,Please enter your date of birth in the spaces provided below,"dobday, dobmonth, dobyear"
qid_cohortdmoversq6,"The Welsh Government holds records about all pupils in Wales in the National Pupil Database (NPDB). We would like to link your answers here and those you gave in 2013 and 2014, with this database. The data will be kept secure and anonymous. If you are not happy for us to do this, please tick the box below.",npdbpermit
qid_cohortdmoversq36b,"If yes, please write about it here.",EngSoc06
qid_cohortdmoversq1,Please provide your contact details below so that we can contact you with information about this study,"mobno, email"
qid_cohortdmoversq39,"If there were a general election tomorrow, and you were allowed to vote, which political party do you think you would vote for?",EngPol03
qid_cohortayear2q14,How often does an adult read to you at home?,FamActFrq21
qid_cohortayear2q15,How often do you read with an adult at home?,FamActFrq20
qid_cohortayear2q18,Where do you usually eat breakfast?,RoutnFood02
qid_cohortayear2q9,How much do you like school?,SchAtt01
qid_cohortayear2q6,How much do you like writing?,HobAtt10
qid_cohortayear2q8,How much do you like speaking Welsh?,CymAtt04
qid_cohortayear2q7,How much do you like number work?,SchLearnAtt03
qid_cohortayear2q3,Are you a boy or a girl?,sex
qid_cohortayear2q4,How much do you like answering questions in class?,SchLearnAtt01
qid_cohortayear2q5,How much do you like reading?,HobAtt06
qid_cohortayear2q10,How much do you like your teacher?,SchStafAtt07
qid_cohortayear2q13,How much do you like to play sport?,HobAtt07
qid_cohortayear2q2,When is your birthday?,dobday
qid_cohortayear2q12,"When you play inside the house, what do you like to do most?",Hob45
qid_cohortayear2q19,What did you eat for breakfast this morning?,RoutnFood01
qid_cohortayear2q11,"When you play outside, what do you like to do most?",Hob46
qid_cohortayear2q17,Have you ever visited any of these places?,Hob49
qid_cohortayear2q20,What do you want to do when you grow up?,AspCareer03
qid_cohortayear3q21,Who is your favourite person in the world?,EngSoc30
qid_cohortayear3q22,About what time did you go to bed last night?,RoutnSleep03
qid_cohortayear3q25,What did you eat for dinner last night?,RoutnFood06
qid_cohortayear3q26,What did you eat for breakfast this morning?,RoutnFood01
qid_cohortayear3q27,How much do you like sports?,HobAtt07
qid_cohortayear3q28,How often do you play sports or do exercise?,HobFrq02
qid_cohortayear3q29,What is your favourite sport or game to play?,Hob44
qid_cohortayear3q30,How much energy have you had this week?,WellFeelFrq08
qid_cohortayear3q32,How much do you like the way you look?,WellSat07
qid_cohortayear3q33,Do you have a mobile phone?,Deprive03
qid_cohortayear3q34a,How often do you use the internet?,HobFrq06
qid_cohortayear3q34d,How often do you read books?,HobFrq03
qid_cohortayear3q35,Which video game is your favourite?,Hob47
qid_cohortayear3q37,Do you get pocket money?,Money01
qid_cohortayear3q38,How much pocket money do you get per week?,Money02
qid_cohortayear3q39,What did you do with your pocket money this week?,Money03
qid_cohortayear3q40,What do you want to be when you grow up?,AspCareer03
qid_cohortayear3q12,What do you like to learn the most in school?,SchSubjAtt17
qid_cohortayear3q13,What do you like to learn the least in school?,SchSubjAtt18
qid_cohortayear3q14,How much have you tried in school this week?,SchAtt15
qid_cohortayear3q15,How much do you like taking tests?,SchLearnAtt14
qid_cohortayear3q18,How often do your parents or carers read with you at home?,FamActFrq21
qid_cohortayear3q19,How often do you see your grandparents?,FamActFrq08
qid_cohortayear3q3,Are you a boy or a girl?,sex
qid_cohortayear3q5,How much do you like school?,SchAtt01
qid_cohortayear3q6,How much do you like reading?,HobAtt06
qid_cohortayear3q7,How much do you like writing?,HobAtt10
qid_cohortayear3q8,How much do you like number work?,SchLearnAtt03
qid_cohortayear3q9,How much do you like answering questions in class?,SchLearnAtt01
qid_cohortayear3q10,How much do you like learning Welsh?,SchSubjAtt04
qid_cohortayear3q11,How often do you speak Welsh in school?,CymFrq01
qid_cohortayear3q23,About what time did you get up in the morning?,RoutnSleep01
qid_cohortayear3q17,"Which do you like better, school this year or school last year?",SchTranAtt20
qid_cohortayear3q4,Do you remember taking a survey like this last year?,doneprev
qid_cohortayear3q34c,"How often do you use a tablet (iPad, etc.)?",HobFrq05
qid_cohortayear3q16,Do you worry about tests?,SchLearnAtt15
qid_cohortayear3q31,Have you felt lonely at all this week?,WellFeelFrq09
qid_cohortayear3q2,When is your birthday?,dobday
qid_cohortbyear6q2a,How much do you like English?,SchSubjAtt01
qid_cohortbyear6q2b,How much do you like Maths?,SchSubjAtt02
qid_cohortbyear6q2c,How much do you like Welsh?,SchSubjAtt04
qid_cohortbyear6q2d,How much do you like Science?,SchSubjAtt03
qid_cohortbyear6q2e,How much do you like PE?,SchSubjAtt12
qid_cohortbyear6q2f,How much do you like learning new things?,SchLearnAtt02
qid_cohortbyear6q2g,How much do you like answering questions in class?,SchLearnAtt01
qid_cohortbyear6q3a,How often is school interesting?,SchAtt02
qid_cohortbyear6q3b,How often do you get tired at school?,RoutnSleep06
qid_cohortbyear6q3c,How often do you get fed up at school?,WellFeelFrq11
qid_cohortbyear6q3e,How often do other children bully you?,BullySch02
qid_cohortbyear6q3f,How often do you feel left out of things by other children at school?,WellFeelFrq10
qid_cohortbyear6q4a,How much do you like listening to music?,HobAtt02
qid_cohortbyear6q4b,How much do you like playing music on an instrument?,HobAtt03
qid_cohortbyear6q4c,"How much do you like watching TV, videos or DVDs?",HobAtt09
qid_cohortbyear6q4d,"How much do you like drawing, painting, or making things?",HobAtt01
qid_cohortbyear6q4e,How much do you like using a computer or playing games like XBOX or Playstation?,HobAtt08
qid_cohortbyear6q4f,How much do you like playing sports and games outside?,HobAtt05
qid_cohortbyear6q4g,How much do you like playing sports and games inside?,HobAtt04
qid_cohortbyear6q5,Do you have your own phone?,Deprive03
qid_cohortbyear6q6,How well do you speak Welsh?,CymAtt05
qid_cohortbyear6q8a,How often do you read for enjoyment?,HobFrq04
qid_cohortbyear6q8b,How often do you play games on a computer or games console?,HobFrq01
qid_cohortbyear6q8c,How often do you use the internet?,HobFrq06
qid_cohortbyear6q8d,How often do you use the internet for homework?,SchAct03
qid_cohortbyear6q8e,How often do you exchange messages with friends on the internet using instant messaging?,FrndCom05
qid_cohortbyear6q8f,How often do you visit a social networking website?,HobFrq07
qid_cohortbyear6q9e,How often do you spend time with your grandparents?,FamActFrq07
qid_cohortbyear6q9f,How often do you spend time with your Aunts/Uncles?,FamActFrq09
qid_cohortbyear6q9g,How often do you spend time with your cousins?,FamActFrq10
qid_cohortbyear6q11,Do you have any extra help for your school work when you are at school?,SchAct06
qid_cohortbyear6q12,Do you take part in the Urdd or Eisteddfod with school?,SchActEist01
qid_cohortbyear6q13,How many friends do you have?,FrndDivers02
qid_cohortbyear6q14,How many friends go to a different school?,FrndDivers04
