qid,literal_question_text,themes
qid_cohortbyear6q11,Do you have any extra help for your school work when you are at school?,School and learning 
qid_cohortbyear6q12,Do you take part in the Urdd or Eisteddfod with school?,School and learning 
qid_cohortbyear6q12a,"If yes, which do you take part in? You can tick as many as you like.",School and learning 
qid_cohortbyear6q13,How many friends do you have?,"Family, friends and relationships"
qid_cohortbyear6q14,How many friends go to a different school?,"Family, friends and relationships"
qid_cohortbyear6q15,How many friends do you have who live 10 minutes walk or less from your house?,"Family, friends and relationships"
qid_cohortbyear6q16,How often do you argue or fall out with your friends?,"Family, friends and relationships"
qid_cohortbyear6q17,"When you are not at school, how often do you spend time with your friends?","Family, friends and relationships"
qid_cohortbyear6q18,"At the weekend how often do you spend time with your friends, but without adults or older children, going to the shops or just 'hanging out'?","Family, friends and relationships"
qid_cohortbyear6q19,"In the afternoon after school how often do you spend time with your friends, but without adults or older children, going to the shops or just 'hanging out'?","Family, friends and relationships"
qid_cohortbyear6q20,"Are your friends mostly boys, mostly girls or a mixture of boys and girls?","Family, friends and relationships"
qid_cohortbyear6q21,Do you have any best friends?,"Family, friends and relationships"
qid_cohortbyear6q22,How often do you misbehave or cause trouble in class?,School and learning
qid_cohortbyear6q25,What do you do if you are worried about something? You can tick as many as you like.,Wellbeing
qid_cohortbyear6q26,How safe is it to walk or play on your street during the day?,Wellbeing
qid_cohortbyear6q27,Which secondary school do you think your are going to in September?,Confidence and aspirations
qid_cohortbyear6q28,are you on a waiting list for another secondary school?,Confidence and aspirations
qid_cohortbyear6q29,"If you are on a waiting list for another secondary school, which one is it?",Confidence and aspirations
qid_cohortbyear6q30,How much are you looking forward to going to secondary school?,Confidence and aspirations
qid_cohortbyear6q31,List up to three things you are most looking forward to about secondary school.,Confidence and aspirations
qid_cohortbyear6q32,List up to three things you are not looking forward to about secondary school:,Confidence and aspirations
qid_cohortbyear6q33,How many of your friends are going to the same secondary school as you?,Confidence and aspirations
qid_cohortbyear6q34,"By the time you're grown-up, which one of these things would you like to have most (tick one)?",Confidence and aspirations
qid_cohortbyear6q35,Do you want to stay on at school or college when you are 16?,Confidence and aspirations
qid_cohortbyear6q36,Do you know what you want to be when you grow up?,Confidence and aspirations
qid_cohortbyear6q37,"If yes, what would you like to be?",Confidence and aspirations
qid_cohortbyear6q38,"If someone gave you £1 million tomorrow, what would you like to do with it?",Confidence and aspirations
qid_cohortbyear6q39,Name up to three famous people you most like:,Confidence and aspirations
qid_cohortbyear6q40,Name up to three famous people you most dislike:,Confidence and aspirations
qid_cohortbyear6q41,Your name (first and last name):,Confidence and aspirations
qid_cohortbyear6q43,Are you a boy or a girl?,Background variables
qid_cohortbyear6q44,What is your date of birth?,Background variables
qid_cohortbyear6q45,What is the postcode where you live?,Background variables
qid_cohortbyear6q46,What is the name of your school?,Background variables
qid_cohortcyear8q1,How many friends go to the same school as you?,"Family, friends and relationships"
qid_cohortcyear8q2,How many of your friends go to a different school than you?,"Family, friends and relationships"
qid_cohortcyear8q3,"Are your friends mostly boys, mostly girls or a mixture of girls and boys?","Family, friends and relationships"
qid_cohortcyear8q4a,How often do you use the following to communicate with your friends? Talking to them face to face.,"Family, friends and relationships"
qid_cohortcyear8q4b,How often do you use the following to communicate with your friends? Talking to them on the phone.,"Family, friends and relationships"
qid_cohortcyear8q4c,"How often do you use the following to communicate with your friends? Sending messages on a computer, tablet or phone.","Family, friends and relationships"
qid_cohortcyear8q5,Please list up to three words that best describe your neighbourhood:,"Family, friends and relationships"
qid_cohortcyear8q6a,Please choose the best response from the options below: I have better relationships with my friends than my family.,"Family, friends and relationships"
qid_cohortcyear8q6b,Please choose the best response from the options below: I have at least one good friend that I can really trust.,"Family, friends and relationships"
qid_cohortcyear8q6c,"Please choose the best response from the options below: Overall, my family approves of my friends.","Family, friends and relationships"
qid_cohortcyear8q6d,Please choose the best response from the options below: My family knows about what my friends and I do when we're together.,"Family, friends and relationships"
qid_cohortcyear8q7a,How safe do you feel walking in your neighbourhood during the day?,"Family, friends and relationships"
qid_cohortcyear8q7b,How safe do you feel walking in your neighbourhood at night?,"Family, friends and relationships"
qid_cohortcyear8q8,Please list up to three words that best describe your school:,School and learning
qid_cohortcyear8q9a,Please choose the best response from the options below: my school cares about how much I improve in my studies.,School and learning
qid_cohortcyear8q9b,Please choose the best response from the options below: the school staff have high expectations of me.,School and learning
qid_cohortcyear8q9c,Please choose the best response from the options below: my teachers/mentors/classrooms tutors set goals I can easily achieve.,School and learning
qid_cohortcyear8q9d,Please choose the best response from the options below: my views are listened to and taken seriously by the staff at my school.,School and learning
qid_cohortcyear8q9e,Please choose the best response from the options below: my school rewards pupils who receive good marks or make good progress.,School and learning
qid_cohortcyear8q9f,Please choose the best response from the options below: the staff at my school make school fun.,School and learning
qid_cohortcyear8q9g,Please choose the best response from the options below: school helps me appreciate living in Wales.,School and learning
qid_cohortcyear8q9h,"Please choose the best response from the options below: school helps me develop my own sense of ""Welshness"".","School and learning, Politics and Society "
qid_cohortcyear8q9i,Please choose the best response from the options below: School helps increase my interest in the politics of Wales.,"School and learning, Politics and Society "
qid_cohortcyear8q9j,"Please choose the best response from the options below: overall, I like the staff at my school.",School and learning
qid_cohortcyear8q9k,"Please choose the best response from the options below: overall, I feel I make a good effort in class.",School and learning
qid_cohortcyear8q9l,Please choose the best response from the options below: I feel safe at school,"School and learning, Wellbeing "
qid_cohortcyear8q10a,How much do you like the following subjects at school? Music.,School and learning
qid_cohortcyear8q10b,How much do you like the following subjects at school? Art.,School and learning
qid_cohortcyear8q10c,How much do you like the following subjects at school? ICT.,School and learning
qid_cohortcyear8q10d,How much do you like the following subjects at school? English.,School and learning
qid_cohortcyear8q10e,How much do you like the following subjects at school? Science.,School and learning
qid_cohortcyear8q10f,How much do you like the following subjects at school? Maths.,School and learning
qid_cohortcyear8q10g,How much do you like the following subjects at school? Welsh.,School and learning
qid_cohortcyear8q10h,How much do you like the following subjects at school? P.E.,School and learning
qid_cohortcyear8q10i,How much do you like the following subjects at school? History.,School and learning
qid_cohortcyear8q10j,How much do you like the following subjects at school? Geography.,School and learning
qid_cohortcyear8q10k,How much do you like the following subjects at school? Foreign Languages.,School and learning
qid_cohortcyear8q10l,How much do you like the following subjects at school? Design and Technology.,School and learning
qid_cohortcyear8q10m,How much do you like the following subjects at school? Religious Education.,School and learning
qid_cohortcyear8q11a,Please list up to three words to describe what you like about school:,School and learning
qid_cohortcyear8q11b,Please list up to three words to describe what you dislike about school:,School and learning
qid_cohortcyear8q12,"Which of the following choices best describe your feelings about leaving primary school and coming to secondary school? (tick as few, or as many, as you need)",School and learning
qid_cohortcyear8q13a,Please choose the best response from the options below: Moving up from primary school to secondary school was stressful.,School and learning
qid_cohortcyear8q13b,"Please choose the best response from the options below: When I was in primary school, I looked forward to coming to secondary school.",School and learning
qid_cohortcyear8q13c,"Please choose the best response from the options below: Overall, I like primary school better than secondary school.",School and learning
qid_cohortcyear8q13d,Please choose the best response from the options below: I made a lot of new friends when I came to secondary school.,School and learning
qid_cohortcyear8q13e,"Please choose the best response from the options below: Overall, I like secondary school better than primary school.",School and learning
qid_cohortcyear8q14a,Please state how much you think the following activity helps you learn: taking notes while the teacher talks.,School and learning
qid_cohortcyear8q14b,Please state how much you think the following activity helps you learn: working in a group.,School and learning
qid_cohortcyear8q14c,Please state how much you think the following activity helps you learn: working with a partner.,School and learning
qid_cohortcyear8q14d,Please state how much you think the following activity helps you learn: working individually.,School and learning
qid_cohortcyear8q14e,Please state how much you think the following activity helps you learn: working on projects with detailed instructions.,School and learning
qid_cohortcyear8q14f,Please state how much you think the following activity helps you learn: working on projects without detailed instructions.,School and learning
qid_cohortcyear8q14g,Please state how much you think the following activity helps you learn: working on projects that involve a lot of class or group discussion.,School and learning
qid_cohortcyear8q14h,Please state how much you think the following activity helps you learn: Working on projects that involve getting up out of your seat or going outside.,School and learning
qid_cohortcyear8q15,Will you be doing the Welsh Baccalaureate?,School and learning
qid_cohortcyear8q16a,Please state if you agree or disagree with the following statement: I think the work I do in school now will help me achieve my future goals.,School and learning
qid_cohortcyear8q16b,Please state if you agree or disagree with the following statement: The things I learn in school now help me in my day-to-day life.,School and learning
qid_cohortcyear8q16c,"Please state if you agree or disagree with the following statement: When I'm older, I will have good memories of attending this school.",School and learning
qid_cohortcyear8q17a,How often do you read for fun?,Out of school activities and routines
qid_cohortcyear8q17b,How often do you play games on a computer or games console?,Out of school activities and routines
qid_cohortcyear8q17c,How often do you play sports or active games?,Out of school activities and routines
qid_cohortcyear8q17d,"How often do you draw, paint or make things?",Out of school activities and routines
qid_cohortcyear8q17e,How often do you use the internet for homework?,Out of school activities and routines
qid_cohortcyear8q18a,"Do you take performing Arts (Singing, dancing, playing an instrument, etc.) classes outside of school?","Out of school activities and routines, School and learning "
qid_cohortcyear8q18b,"Do you take Sports (Rugby, horseback riding, martial arts, gymnastics, etc.) classes outside of school.","Out of school activities and routines, School and learning "
qid_cohortcyear8q18c,"Do you take Creative Arts (Painting, poetry, creative writing, sculpting, etc.) classes outside of school?","Out of school activities and routines, School and learning "
qid_cohortcyear8q18d,"Do you take Languages (Welsh, Foreign languages, etc.) classes outside of school.","Out of school activities and routines, School and learning "
qid_cohortcyear8q18e,"Do you take ICT/Design (Computer programming, Graphic design, etc.) classes outside of school?","Out of school activities and routines, School and learning "
qid_cohortcyear8q19a,Do you receive private tuition for the following school subject? English.,"Out of school activities and routines, School and learning "
qid_cohortcyear8q19b,Do you receive private tuition for the following school subject? Science.,"Out of school activities and routines, School and learning "
qid_cohortcyear8q19c,Do you receive private tuition for the following school subject? Maths.,"Out of school activities and routines, School and learning "
qid_cohortcyear8q19d,Do you receive private tuition for the following school subject? Welsh.,"Out of school activities and routines, School and learning "
qid_cohortcyear8q19e,"Do you receive private tuition for the following school subject? Humanities (Geography, History, etc.)","Out of school activities and routines, School and learning "
qid_cohortcyear8q19f,Do you receive private tuition for the following school subject? Foreign Languages.,"Out of school activities and routines, School and learning "
qid_cohortcyear8q19g,Do you receive private tuition for any school subject not listed?,"Out of school activities and routines, School and learning "
qid_cohortcyear8q20,"Approximately how many messages do you send and receive (either on a computer, tablet or your phone) per day?",Out of school activities and routines
qid_cohortcyear8q21,"How often do you discuss schoolwork with your friends through messaging (either on a computer, tablet or your phone)?",Out of school activities and routines
qid_cohortcyear8q22a,How often do you do volunteer work?,Out of school activities and routines
qid_cohortcyear8q22b,How often do you do chores at home?,Out of school activities and routines
qid_cohortcyear8q22c,"How often do you do occasional work for pocket money, including chores at home, work in a family business or farm, etc.",Out of school activities and routines
qid_cohortcyear8q22d,"How often do you spend time with your friends and just ""hanging out""?","Out of school activities and routines, Family, friends and relationships"
qid_cohortcyear8q22e,How often do spend time with your friends browsing the Internet?,"Out of school activities and routines, Family, friends and relationships"
qid_cohortcyear8q22f,How often do you spend time with your friends playing video games?,"Out of school activities and routines, Family, friends and relationships"
qid_cohortcyear8q22g,"How often do you spend time doing activities outside of the home with the following family members: Parents, brothers and/or sisters.","Out of school activities and routines, Family, friends and relationships"
qid_cohortcyear8q22h,"How often do you spend time doing activities outside of the home with the following family members: Grandparents, aunts/uncles or cousins.","Out of school activities and routines, Family, friends and relationships"
qid_cohortcyear8q22i,"How often do you spend time with your friends chatting online (Facebook, Skype, etc.)?","Out of school activities and routines, Family, friends and relationships"
qid_cohortcyear8q23,Do you go to bed at the same time each school night?,"Out of school activities and routines, wellbeing"
qid_cohortcyear8q24,About what time did you go to bed last night?,"Out of school activities and routines, wellbeing"
qid_cohortcyear8q25,Do you get up for school at the same time every school day?,"Out of school activities and routines, wellbeing"
qid_cohortcyear8q26,About what time did you wake up to get ready for school this morning?,"Out of school activities and routines, wellbeing"
qid_cohortcyear8q27a,How often do you go to school feeling tired?,"Out of school activities and routines, wellbeing"
qid_cohortcyear8q27b,"How often do you wake up at night to message a friend, or check messages, on the computer, a tablet or your phone?","Out of school activities and routines, wellbeing"
qid_cohortcyear8q27c,How often do you eat breakfast before school starts?,"Out of school activities and routines, wellbeing"
qid_cohortcyear8q27d,How often do you skip lunch at school?,"Out of school activities and routines, wellbeing"
qid_cohortcyear8q28a,How important do you think it is for you to learn Welsh?,"Politics and Society, Confidence and aspirations "
qid_cohortcyear8q28b,How important do you think it is for you to speak Welsh?,"Politics and Society, Confidence and aspirations "
qid_cohortcyear8q28c,How important do you think it is for Welsh to remain a living language?,Politics and Society 
qid_cohortcyear8q29a,How do you feel about the following part of your life? Your school work.,"Wellbeing, School and learning "
qid_cohortcyear8q29b,How do you feel about the following part of your life? the way you look.,Wellbeing
qid_cohortcyear8q29c,How do you feel about the following part of your life? Your family.,"Wellbeing, Family, friends and relationships "
qid_cohortcyear8q29d,How do you feel about the following part of your life? Your friends.,"Wellbeing, Family, friends and relationships "
qid_cohortcyear8q29e,How do you feel about the following part of your life? Your school overall.,"Wellbeing, School and learning "
qid_cohortcyear8q29f,How do you feel about the following part of your life? Your life as a whole.,Wellbeing
qid_cohortcyear8q30a,How do you feel about having friends of a different skin colour from you?,"Politics and Society, Family, friends and relationships  "
qid_cohortcyear8q30b,How do you feel about having friends from countries outside of the UK?,"Politics and Society, Family, friends and relationships  "
qid_cohortcyear8q30c,How do you feel about having friends from Northern Ireland?,"Politics and Society, Family, friends and relationships  "
qid_cohortcyear8q30d,How do you feel about having friends from Scotland?,"Politics and Society, Family, friends and relationships  "
qid_cohortcyear8q30e,How do you feel about having friends from England?,"Politics and Society, Family, friends and relationships  "
qid_cohortcyear8q30f,How do you feel about having friends of a different gender than you?,"Politics and Society, Family, friends and relationships  "
qid_cohortcyear8q31,"Please put the following items IN ORDER from 1 to 7 according to how ""wrong"" you think they are to do. ""1"" means the least wrong and ""7"" means the most wrong. (Please note, each statement must have a different number from the other statements)",Wellbeing
qid_cohortcyear8q32,"By the time you are 30 years old, which one of the following would you most like to have achieved?",Confidence and aspirations
qid_cohortcyear8q33a,"When you are an adult, do you think you will live in Wales?",Confidence and aspirations
qid_cohortcyear8q33b,"When you are an adult, do you think you will live in the same neighbourhood as you do now?",Confidence and aspirations
qid_cohortcyear8q33c,"When you are an adult, do you think you will live abroad?",Confidence and aspirations
qid_cohortcyear8q33d,"When you are an adult, do you think you will have a family of your own?",Confidence and aspirations
qid_cohortcyear8q33e,"When you are an adult, do you think you will have graduated from university?",Confidence and aspirations
qid_cohortcyear8q33f,"When you are an adult, do you think you will be financially ""well-off""?",Confidence and aspirations
qid_cohortcyear8q33g,"When you are an adult, do you think you will volunteer some of your time to help others?",Confidence and aspirations
qid_cohortcyear8q33h,"When you are an adult, do you think you will speak Welsh?",Confidence and aspirations
qid_cohortcyear8q33i,"When you are an adult, do you think you will have a job that you will enjoy?",Confidence and aspirations
qid_cohortcyear8q34a,Please list up to three famous people that you most admire.,Confidence and aspirations
qid_cohortcyear8q34b,Please list up to three famous people that you most dislike.,Confidence and aspirations
qid_cohortcyear8q35,What kind of job do you want when you are an adult?,Confidence and aspirations
qid_cohortcyear8q36,If someone gave you £1 million today what would you do with it?,Confidence and aspirations
qid_cohortcyear8q37,Please enter your First and Last name in the spaces provided below.,Background variables
qid_cohortcyear8q38,What is your date of birth? (dd/mm/yyyy),Background variables
qid_cohortcyear8q39,Please choose the option that best describes how well you speak Welsh.,Background variables
qid_cohortcyear8q40,What is your gender?,Background variables
qid_cohortcyear8q41,To which of the following groups do you think you belong?,Background variables
qid_cohortcyear8q42,"What is your national identity (e.g. Welsh, English, British, etc)?",Background variables
qid_cohortdyear10q1,About how many of your friends go to the same school as you? (Please enter a number),"Family, friends and relationships"
qid_cohortdyear10q2,About how many of your friends go to a different school from you? (Please enter a number),"Family, friends and relationships"
qid_cohortdyear10q3,"Are your friends mostly boys, mostly girls, or a mixture of boys and girls?","Family, friends and relationships"
qid_cohortdyear10q4a,How often do you do the following with your friends? Speak with them face to face.,"Family, friends and relationships"
qid_cohortdyear10q4b,How often do you do the following with your friends? Speak with them over the phone.,"Family, friends and relationships"
qid_cohortdyear10q4c,"How often do you do the following with your friends? Send them messages on the computer, tablet or phone.","Family, friends and relationships"
qid_cohortdyear10q5,Please list up to three words that best describe your neighbourhood in the spaces provided below:,"Family, friends and relationships"
qid_cohortdyear10q6a,Please choose the best response from the options below: I have better relationships with my friends than my family.,"Family, friends and relationships"
qid_cohortdyear10q6b,Please choose the best response from the options below: I have at least one good friend that I can really trust.,"Family, friends and relationships"
qid_cohortdyear10q6c,"Please choose the best response from the options below: Overall, my family approves of my friends.","Family, friends and relationships"
qid_cohortdyear10q6d,Please choose the best response from the options below: My family knows about what my friends and I do when we're together.,"Family, friends and relationships"
qid_cohortdyear10q7a,How safe do you feel walking in your neighbourhood during the day?,Wellbeing 
qid_cohortdyear10q7b,How safe do you feel walking in your neighbourhood at night?,Wellbeing 
qid_cohortdyear10q8,Please list up to three words that best describe your school,School and learning
qid_cohortdyear10q9a,Please choose the best response from the options below: The school staff cares about how much I improve in my studies.,School and learning
qid_cohortdyear10q9b,Please choose the best response from the options below: The school staff have high expectations of me.,School and learning
qid_cohortdyear10q9c,Please choose the best response from the options below: The school staff set goals I can easily achieve.,School and learning
qid_cohortdyear10q9d,Please choose the best response from the options below: My views are listened to and taken seriously by the school staff.,School and learning
qid_cohortdyear10q9e,Please choose the best response from the options below: My school rewards pupils who receive good marks or make good progress.,School and learning
qid_cohortdyear10q9f,Please choose the best response from the options below: The school staff make school fun.,School and learning
qid_cohortdyear10q9g,Please choose the best response from the options below: school helps me appreciate living in Wales.,School and learning
qid_cohortdyear10q9h,"Please choose the best response from the options below: school helps me develop my own sense of ""Welshness"".","School and learning, Politics and Society "
qid_cohortdyear10q9i,Please choose the best response from the options below: school helps increase my interest in the politics of Wales.,"School and learning, Politics and Society "
qid_cohortdyear10q9j,"Please choose the best response from the options below: overall, I like the school staff.",School and learning
qid_cohortdyear10q9k,"Please choose the best response from the options below: overall, I feel I make a good effort in class.",School and learning
qid_cohortdyear10q9l,Please choose the best response from the options below: I feel safe at school.,"School and learning, wellbeing "
qid_cohortdyear10q10a,How much do you like the following subjects at school? Music.,School and learning
qid_cohortdyear10q10b,How much do you like the following subjects at school? Art.,School and learning
qid_cohortdyear10q10c,How much do you like the following subjects at school? ICT.,School and learning
qid_cohortdyear10q10d,How much do you like the following subjects at school? English.,School and learning
qid_cohortdyear10q10e,How much do you like the following subjects at school?Science.,School and learning
qid_cohortdyear10q10f,How much do you like the following subjects at school? Maths.,School and learning
qid_cohortdyear10q10g,How much do you like the following subjects at school? Welsh.,School and learning
qid_cohortdyear10q10h,How much do you like the following subjects at school? P.E.,School and learning
qid_cohortdyear10q10i,How much do you like the following subjects at school? History.,School and learning
qid_cohortdyear10q10j,How much do you like the following subjects at school? Geography.,School and learning
qid_cohortdyear10q10k,How much do you like the following subjects at school? Foreign Languages.,School and learning
qid_cohortdyear10q10l,How much do you like the following subjects at school? Design & Technology.,School and learning
qid_cohortdyear10q10m,How much do you like the following subjects at school? Religious Education.,School and learning
qid_cohortdyear10q11a,Please list up to three words that describe you what you like about school.,School and learning
qid_cohortdyear10q11b,Please list up to three words that describe you what you dislike about school.,School and learning
qid_cohortdyear10q12a,Please state how much you think the following activity helps you learn: taking notes while the teacher talks.,School and learning
qid_cohortdyear10q12b,Please state how much you think the following activity helps you learn: working in a group.,School and learning
qid_cohortdyear10q12c,Please state how much you think the following activity helps you learn: working with a partner.,School and learning
qid_cohortdyear10q12d,Please state how much you think the following activity helps you learn: working individually.,School and learning
qid_cohortdyear10q12e,Please state how much you think the following activity helps you learn: working on projects with detailed instructions.,School and learning
qid_cohortdyear10q12f,Please state how much you think the following activity helps you learn: working on projects without detailed instructions.,School and learning
qid_cohortdyear10q12g,Please state how much you think the following activity helps you learn: working on projects that involve a lot of class or group discussion.,School and learning
qid_cohortdyear10q12h,Please state how much you think the following activity helps you learn: working on projects that involve getting up out of your seat or going outside.,School and learning
qid_cohortdyear10q13,Are you doing the Welsh Baccalaureate?,School and learning
qid_cohortdyear10q14a,Please state if you agree or disagree with the following statement: I think the work I do in school now will help me achieve my future goals.,School and learning
qid_cohortdyear10q14b,Please state if you agree or disagree with the following statement: The things I learn in school now help me in my day-to-day life.,School and learning
qid_cohortdyear10q14c,"Please state if you agree or disagree with the following statement: When I'm older, I will have good memories of attending this school.",School and learning
qid_cohortdyear10q15a,How often do you do the following? Read for fun.,Out of school activities and routines
qid_cohortdyear10q15b,How often do you do the following? Play games on a computer or games console.,Out of school activities and routines
qid_cohortdyear10q15c,How often do you do the following? Play sport or active games.,Out of school activities and routines
qid_cohortdyear10q15d,"How often do you do the following? Draw, paint or make things.",Out of school activities and routines
qid_cohortdyear10q15e,How often do you do the following? use the internet for homework.,Out of school activities and routines
qid_cohortdyear10q16a,"Do you take Performing Arts (Singing, dancing, playing an instrument, etc.) classes outside of school?","Out of school activities and routines, School and learning "
qid_cohortdyear10q16b,"Do you take Sports (Rugby, horseback riding, martial arts, gymnastics, etc.) outside of school?","Out of school activities and routines, School and learning "
qid_cohortdyear10q16c,"Do you take Creative Arts (Painting, poetry, creative writing, sculpting, etc.) classes outside of school?","Out of school activities and routines, School and learning "
qid_cohortdyear10q16d,"Do you take Languages (Welsh, Foreign languages, etc.) classes outside of school?","Out of school activities and routines, School and learning "
qid_cohortdyear10q16e,"Do you take ICT/Design (Computer programming, Graphic design, etc.) classes outside of school?","Out of school activities and routines, School and learning "
qid_cohortdyear10q17a,Do you receive private tuition for the following school subject? English.,"Out of school activities and routines, School and learning "
qid_cohortdyear10q17b,Do you receive private tuition for the following school subject? Science.,"Out of school activities and routines, School and learning "
qid_cohortdyear10q17c,Do you receive private tuition for the following school subject? Maths.,"Out of school activities and routines, School and learning "
qid_cohortdyear10q17d,Do you receive private tuition for the following school subject? Welsh.,"Out of school activities and routines, School and learning "
qid_cohortdyear10q17e,"Do you receive private tuition for the following school subject? Humanities (Geography, History, etc.)","Out of school activities and routines, School and learning "
qid_cohortdyear10q17f,Do you receive private tuition for the following school subject? Foreign Languages.,"Out of school activities and routines, School and learning "
qid_cohortdyear10q18,"Approximately how many messages do you send and receive (either on a computer, tablet or your phone) per day?",Out of school activities and routines
qid_cohortdyear10q19,"How often do you discuss schoolwork with your friends through messaging (either on a computer, tablet or your phone)?",Out of school activities and routines
qid_cohortdyear10q20a,How often do you work for an employer?,Out of school activities and routines
qid_cohortdyear10q20b,How often do you do volunteer work?,Out of school activities and routines
qid_cohortdyear10q20c,How often do you do chores at home?,Out of school activities and routines
qid_cohortdyear10q20d,"How often do you do occasional work for pocket money, including chores at home, work in a family business or farm, etc.?",Out of school activities and routines
qid_cohortdyear10q20e,"How often do you spend time with your friend and just ""hang out""?","Out of school activities and routines, Family, friends and relationships "
qid_cohortdyear10q20f,How often do you spend time with your friends browsing the internet?,"Out of school activities and routines, Family, friends and relationships "
qid_cohortdyear10q20g,How often do you spend time with your friends playing video games?,"Out of school activities and routines, Family, friends and relationships "
qid_cohortdyear10q20h,"How often do you spend time doing activities outside of the home with the following family members: Parents, brothers and/or sisters?","Out of school activities and routines, Family, friends and relationships "
qid_cohortdyear10q20i,"How often do you spend time doing activities outside of the home with the following family members: Grandparents, aunts/uncles or cousins.","Out of school activities and routines, Family, friends and relationships "
qid_cohortdyear10q20j,"How often do you spend time with your friends chatting online (Facebook, Skype, etc.)?","Out of school activities and routines, Family, friends and relationships "
qid_cohortdyear10q21,Do you go to bed at the same time each school night?,"Out of school activities and routines, wellbeing"
qid_cohortdyear10q22,About what time did you go to bed last night?,"Out of school activities and routines, wellbeing"
qid_cohortdyear10q23,Do you get up for school at the same time every school day?,"Out of school activities and routines, wellbeing"
qid_cohortdyear10q24,About what time did you wake up to get ready for school this morning?,"Out of school activities and routines, wellbeing"
qid_cohortdyear10q25a,How often do you go to school feeling tired?,"Out of school activities and routines, wellbeing"
qid_cohortdyear10q25b,"how often do you wake up at night to message a friend, or check messages, on the computer, a tablet or your phone?","Out of school activities and routines, wellbeing"
qid_cohortdyear10q25c,How often do you eat breakfast before school starts?,"Out of school activities and routines, wellbeing"
qid_cohortdyear10q25d,How often do you skip lunch at school?,"School and learning, wellbeing "
qid_cohortdyear10q26a,How important do you think it is for you to learn Welsh?,"Politics and Society, Confidence and aspirations "
qid_cohortdyear10q26b,How important do you think it is for you to speak Welsh?,"Politics and Society, Confidence and aspirations "
qid_cohortdyear10q26c,How important do you think it is for Welsh to remain a living language?,Politics and Society 
qid_cohortdyear10q27a,How do you feel about the following part of your life? Your school work.,"Wellbeing, school and learning "
